DatGeracaoConjuntoDados;DscOrigem;NomTipoUsina;NomSubTipoUsina;QtdUsinaTermeletrica;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;359;8125583,70;12;2012
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;381;9358566,00;12;2013
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;387;9880703,00;12;2014
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;394;10531820,20;12;2015
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;398;10897104,20;12;2016
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;349;7271587,70;3 ;2012
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;367;8532611,70;3 ;2013
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;378;9339425,70;3 ;2014
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;387;9933550,20;3 ;2015
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;394;10594460,00;3 ;2016
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;399;10909920,20;3 ;2017
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;353;7618287,70;6 ;2012
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;370;8926911,70;6 ;2013
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;378;9390071,00;6 ;2014
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;391;10295950,20;6 ;2015
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;392;10661760,20;6 ;2016
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;358;8027644,00;9 ;2012
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;374;9154935,70;9 ;2013
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;384;9778071,00;9 ;2014
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;390;10436420,20;9 ;2015
2023-07-01;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;396;10771760,20;9 ;2016
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;19;79000,00;12;2012
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;23;79626,00;12;2013
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;2;1722,00;12;2014
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;2;1722,00;12;2015
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;19;77308,00;3 ;2012
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;18;74298,00;3 ;2013
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;23;80659,00;3 ;2014
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;2;1722,00;3 ;2015
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;2;1722,00;3 ;2016
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;19;77308,00;6 ;2012
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;19;74388,00;6 ;2013
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;23;84857,00;6 ;2014
2023-07-01;Biomassa;Agroindustriais;Biogas - AGR;2;1722,00;6 ;2015
